Country/Region,Mean_confirmed,Mean_death,Mean_recovered,n_confirmed,n_death,n_recovered,SD_confirmed,SD_death,SD_recovered,Health_exp_public_pct_2016,Health_exp_per_capita_USD_2016,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18
Afghanistan,156.7422680412371,3.657142857142857,17.460526315789473,98,71,77,216.76462264932073,3.82927591553117,20.41727424803072,5.1,57.2,0.3,0
Albania,13.674698795180722,0.3950617283950617,12.253521126760564,84,82,72,7.714586174720823,0.7529776282479957,7.4865943236831285,41.4,271.5,3.6,11.6
Algeria,97.84375,8.15,71.75,97,81,81,70.3627186161296,6.579792617254437,71.67445743150948,67.7,260.4,2.2,12.1
Andorra,8.477777777777778,0.7142857142857143,8.772151898734178,91,71,80,12.353617291092588,0.9801339326234535,11.885079384532144,49.1,3834.7,4,83.1
Antigua and Barbuda,0.31645569620253167,0.037037037037037035,0.3404255319148936,80,55,48,1.0069540742394327,0.19062587709298615,1.005994981072295,60.6,623.1,3.1,14
Argentina,189.32584269662922,6.404761904761905,68.3974358974359,90,85,79,214.97239649867623,4.960370778064948,102.81408511111742,74.4,955.2,2.6,50.1
Armenia,101.98901098901099,1.9696969696969697,45.13333333333333,92,67,76,118.76676438441997,2.430382666733761,53.967290727518176,16.5,358.8,5.6,86.7
Australia,57.12698412698413,1.120879120879121,54.22950819672131,127,92,123,106.67580675125801,1.6722251631694205,153.3012368009952,68.3,5002.4,12.7,45.1
Austria,174.26041666666666,8.3375,187.84337349397592,97,81,84,239.99566859212774,8.078638420809364,209.06058649947659,72.5,4688.3,8.2,109.9
Azerbaijan,60.34065934065934,0.7848101265822784,42.28395061728395,92,80,82,57.87577113097401,0.9152677354678496,41.66180341988967,20,268.2,7,67.6
Bahrain,117.49484536082474,0.23684210526315788,77.54651162790698,98,77,87,131.82833879956513,0.5129891760425769,131.78303532493402,61.4,1099.4,2.5,14.4
Bangladesh,561.3095238095239,8.77027027027027,128.67105263157896,85,75,77,661.4634737739642,8.660328851513915,195.77029997136233,18,34.2,0.3,2.9
Barbados,1.2,0.10714285714285714,1.25,76,57,57,2.105334280448697,0.3120938919661797,2.125601519142715,45.9,1163.8,6,17.2
Belarus,457.5806451612903,3.8360655737704916,223.04819277108433,94,62,84,430.22588411257743,1.5075402467690262,275.24091015825184,61.4,318,11.4,124.2
Belgium,498.97435897435895,116.8395061728395,152.75,118,82,105,551.6667919467966,112.63463685631115,155.3855055653706,84.1,4149.4,11.1,89.8
Belize,0.2463768115942029,0.01818181818181818,0.3333333333333333,70,56,43,0.6946390747433319,0.13483997249264845,0.9283257067894762,66.3,303.6,1.7,10.5
Benin,3.039473684210526,0.03636363636363636,2.3278688524590163,77,56,62,29.116062366317635,0.18891859540615824,7.126760160305218,20.5,30.4,0.6,1.9
Bolivia,123.20987654320987,4.9523809523809526,16.116666666666667,82,64,61,169.92128442674442,4.37156711927668,23.10850725046152,65.7,213,0.7,33.9
Bosnia and Herzegovina,28.82758620689655,2.140845070422535,24.8,88,72,76,21.51052035554508,1.8306577635053731,21.21001803075294,70.8,443.8,6.3,32.3
Botswana,0.5161290322580645,0,0.46875,63,62,33,1.3759281276963313,0,1.1635422833577171,55.9,379.9,3.3,3.6
Brazil,5419.452631578947,390.84,2717.815789473684,96,76,77,7217.21038341526,364.7956125269586,3401.4426261437025,33.2,1015.9,9.7,55.5
Bulgaria,29.86904761904762,1.7160493827160495,15.084507042253522,85,82,72,20.26557396765927,1.5267168033171263,13.633725493237337,50.6,612.5,5.3,112.7
Burkina Faso,10.317073170731707,0.7027027027027027,10.070422535211268,83,75,72,10.170009224391565,0.9754483300770623,11.304011858832585,40.1,40.9,0.6,0.6
Burundi,1,0,0.7073170731707317,62,49,42,3.7903385952532878,0,2.4823769097280977,29.1,18.5,0.7,0.4
Cabo Verde,6.027777777777778,0.04411764705882353,3.4909090909090907,73,69,56,8.460300367960876,0.2068833061667868,8.153328625584013,56.8,159.1,1.2,16
Cameroon,68.63953488372093,2.8358208955223883,53.223880597014926,87,68,68,125.9322799145914,6.468096565416815,171.37799979873682,13.3,64.5,0.9,1.2
Canada,733.952380952381,88.83132530120481,451.48623853211006,127,84,110,723.1428612067504,69.0277108154202,445.95483525425107,73.4,4458.2,9.9,43.9
Central African Republic,13.116883116883116,0.125,0.4166666666666667,78,9,49,28.496525192590553,0.3535533905932738,1.3019352752702071,14.9,16.4,0.2,0.4
